City,CurrTemp,WindSpeed,Humidity
Tanjungpinang,30.5°C / 86.9°F,7 mph,71%
Tegal,29.8°C / 85.7°F,6 mph,87%
Teluk,30.4°C / 86.7°F,3 mph,78%
Ternate,30.1°C / 86.2°F,6 mph,85%
Tual,27.8°C / 82.1°F,19 mph,78%
Tuban,29.9°C / 85.8°F,8 mph,76%
Waingapu,27.6°C / 81.6°F,10 mph,56%
Aioi,22.3°C / 72.2°F,3 mph,80%
Akashi,22.5°C / 72.5°F,6 mph,71%
Aki,24.6°C / 76.3°F,3 mph,63%
Akita,20°C / 68°F,7 mph,89%
Akita,20°C / 68°F,9 mph,73%
Akune,24.7°C / 76.5°F,12 mph,80%
Amagasaki,22.4°C / 72.3°F,1 mph,93%
Aomori,16.7°C / 62.1°F,8 mph,73%
Atami,22.3°C / 72.2°F,1 mph,74%
Beppu,23.6°C / 74.4°F,2 mph,56%
Bungo-Takada,23.4°C / 74.2°F,2 mph,69%
Chatan,28.6°C / 83.5°F,18 mph,79%
Chiba,19.5°C / 67.1°F,3 mph,74%
Chigasaki,22°C / 71.6°F,4 mph,88%
Date,15.4°C / 59.8°F,4 mph,82%
Fuji,23.1°C / 73.5°F,2 mph,92%
Fujisawa,21.8°C / 71.3°F,9 mph,92%
Fukue,23.9°C / 75°F,11 mph,84%
Fukuma,23.3°C / 73.9°F,9 mph,79%
Fukuoka,23.3°C / 73.9°F,20 mph,70%
Fukura,22.6°C / 72.7°F,8 mph,74%
Fukuyama,23.4°C / 74.1°F,2 mph,79%
Funabashi,20.1°C / 68.1°F,3 mph,72%
Futtsu,21.7°C / 71°F,2 mph,73%
Gobō,23.2°C / 73.8°F,3 mph,66%
Gushikawa,28.6°C / 83.4°F,16 mph,84%
Hachinohe,15.6°C / 60.1°F,3 mph,97%
Haebaru,28.6°C / 83.4°F,16 mph,81%
Hakodate,16.2°C / 61.2°F,2 mph,94%
Hamamatsu,23.7°C / 74.6°F,9 mph,77%
Hamanoichi,24.6°C / 76.2°F,3 mph,88%
Handa,23.5°C / 74.3°F,2 mph,78%
Hasaki,20.9°C / 69.6°F,4 mph,81%
Hayama,21.9°C / 71.5°F,2 mph,85%
Hekinan,23.5°C / 74.3°F,2 mph,78%
Hiji,23.5°C / 74.3°F,2 mph,56%
Himeji,22.3°C / 72.2°F,6 mph,84%
Himi,21.1°C / 70°F,12 mph,56%
Hiratsuka,22°C / 71.6°F,3 mph,88%
Hiroshima,22.8°C / 73°F,1 mph,34%
Hitachi,19.8°C / 67.7°F,2 mph,85%
Hōfu,23.3°C / 74°F,6 mph,78%
Hōjō,22.6°C / 72.6°F,5 mph,53%
Hondo,23.9°C / 75.1°F,10 mph,76%
Ichihara,20.1°C / 68.1°F,6 mph,83%
Ichikawa,20.1°C / 68.1°F,3 mph,81%
Innoshima,23.2°C / 73.8°F,3 mph,74%
Ishikari,16.1°C / 61°F,8 mph,94%
Ishikawa,28.6°C / 83.4°F,16 mph,80%
Ishiki,23.6°C / 74.4°F,2 mph,78%
Ishinomaki,18.4°C / 65.2°F,7 mph,92%
Itoman,28.7°C / 83.7°F,10 mph,84%
Iyo,22.7°C / 72.9°F,10 mph,83%
Izumi,22.2°C / 71.9°F,3 mph,80%
Izumiōtsu,22.2°C / 71.9°F,8 mph,78%
Jōetsu,20.7°C / 69.3°F,4 mph,71%
Kagoshima,24.6°C / 76.2°F,4 mph,83%
Kainan,22.6°C / 72.7°F,3 mph,66%
Kaizuka,22.2°C / 71.9°F,8 mph,78%
Kajiki,24.6°C / 76.2°F,3 mph,88%
Kakogawa,22.3°C / 72.2°F,6 mph,84%
Kamaishi,16.8°C / 62.2°F,3 mph,75%
Kamakura,21.7°C / 71°F,9 mph,93%
Kamiiso,16.3°C / 61.4°F,5 mph,94%
Kanda,23.4°C / 74.1°F,10 mph,69%
Kanonji,23.3°C / 74°F,2 mph,71%
Kasaoka,23.4°C / 74.1°F,1 mph,66%
Kashiwazaki,20.6°C / 69.1°F,5 mph,67%
Katsuura,22.2°C / 71.9°F,15 mph,80%
Kawaguchi,22.2°C / 71.9°F,11 mph,84%
Kawanoe,23.4°C / 74.1°F,3 mph,57%
Kawasaki,21.2°C / 70.2°F,10 mph,81%
Kisarazu,21.4°C / 70.5°F,3 mph,83%
Kishiwada,22.2°C / 71.9°F,3 mph,80%
Kitaibaraki,19.5°C / 67.1°F,5 mph,67%
Kitakyūshū,23.6°C / 74.5°F,6 mph,72%
Kitsuki,23.4°C / 74.2°F,7 mph,88%
Kōbe-,22.4°C / 72.4°F,9 mph,92%
Kōchi-,24.6°C / 76.3°F,2 mph,74%
Koga,23.3°C / 73.9°F,20 mph,68%
Komatsushima,22.7°C / 72.9°F,7 mph,70%
Kosai,23.7°C / 74.6°F,11 mph,62%
Kudamatsu,23.3°C / 74°F,7 mph,65%
Kunisaki,22.9°C / 73.3°F,7 mph,88%
Kurashiki,22.8°C / 73.1°F,3 mph,85%
Kure,22.8°C / 73°F,3 mph,83%
Kurume,23.7°C / 74.6°F,5 mph,73%
Kushikino,24.9°C / 76.8°F,9 mph,84%
Kushiro,13.3°C / 55.9°F,5 mph,99%
Kuwana,23.3°C / 74°F,3 mph,64%
Maizuru,21.6°C / 70.9°F,5 mph,78%
Makurazaki,25.2°C / 77.4°F,14 mph,86%
Marugame,22.8°C / 73°F,3 mph,87%
Masaki-chō,22.7°C / 72.9°F,8 mph,74%
Matsushima,18.7°C / 65.7°F,2 mph,61%
Matsuyama,22.7°C / 72.9°F,10 mph,53%
Mihara,22.8°C / 73.1°F,6 mph,86%
Mikuni,21.3°C / 70.4°F,7 mph,63%
Minamata,24.3°C / 75.7°F,8 mph,70%
Miura,22.2°C / 71.9°F,6 mph,73%
Miyako,15.9°C / 60.6°F,7 mph,80%
Miyazaki,25.6°C / 78.1°F,5 mph,83%
Mombetsu,11.3°C / 52.3°F,3 mph,100%
Nagasaki,23.9°C / 75°F,14 mph,82%
Nagato,23.7°C / 74.6°F,6 mph,83%
Nago,28.4°C / 83.1°F,13 mph,88%
Naha,28.7°C / 83.6°F,15 mph,89%
Nakatsu,23.6°C / 74.5°F,4 mph,77%
Namerikawa,21.2°C / 70.1°F,2 mph,62%
Nanao,21.1°C / 70°F,14 mph,59%
Narashino,20°C / 68°F,5 mph,62%
Naruto,22.6°C / 72.6°F,7 mph,70%
Niigata,20.9°C / 69.7°F,13 mph,69%
Niihama,23.3°C / 73.9°F,3 mph,71%
Nishinomiya,22.4°C / 72.4°F,1 mph,95%
Nishinoomote,26°C / 78.8°F,6 mph,75%
Nishio,23.5°C / 74.3°F,6 mph,73%
Nobeoka,25.2°C / 77.4°F,3 mph,69%
Numazu,23.3°C / 73.9°F,3 mph,85%
Ōarai,20.1°C / 68.1°F,3 mph,91%
Obama,21.8°C / 71.3°F,4 mph,68%
Odawara,22.3°C / 72.2°F,4 mph,86%
Ōfunato,17.2°C / 62.9°F,0 mph,66%
Ōita-,23.4°C / 74.2°F,2 mph,56%
Ōkawa,23.8°C / 74.8°F,22 mph,85%
Okayama,22.4°C / 72.3°F,1 mph,73%
Ōmuta,23.9°C / 75.1°F,8 mph,74%
Ōno,22.8°C / 73°F,6 mph,34%
Onomichi,23.1°C / 73.6°F,2 mph,70%
Ōsaka-,22.4°C / 72.3°F,11 mph,59%
Otaru,16.4°C / 61.5°F,8 mph,89%
Owase,23.4°C / 74.1°F,4 mph,58%
Ōyama,23.6°C / 74.5°F,15 mph,82%
Ryōtsu,20.1°C / 68.1°F,10 mph,73%
Saga,23.7°C / 74.7°F,22 mph,94%
Saijō,23.2°C / 73.8°F,4 mph,74%
Saiki,24.4°C / 76°F,5 mph,60%
Sakai,22.3°C / 72.2°F,6 mph,87%
Sasebo,23.4°C / 74.2°F,6 mph,79%
Sendai,19.3°C / 66.7°F,7 mph,88%
Shibetsu,10.9°C / 51.6°F,8 mph,83%
Shibushi,25.5°C / 77.9°F,7 mph,67%
Shido,22.2°C / 72°F,5 mph,65%
Shimabara,23.8°C / 74.9°F,9 mph,80%
Shimminato,21.2°C / 70.1°F,2 mph,55%
Shimminatochō,22.6°C / 72.7°F,3 mph,66%
Shimoda,23.1°C / 73.5°F,12 mph,93%
Shimonoseki,23.5°C / 74.3°F,7 mph,69%
Shinagawa-ku,21.4°C / 70.6°F,6 mph,82%
Shingū,23.3°C / 73.9°F,20 mph,64%
Shiogama,18.7°C / 65.7°F,7 mph,78%
Shirahama,22.3°C / 72.2°F,6 mph,71%
Shizunai,14.8°C / 58.7°F,7 mph,91%
Shizuoka,23.2°C / 73.7°F,3 mph,66%
Sumoto,22.5°C / 72.5°F,7 mph,77%
Suzuka,23.3°C / 73.9°F,8 mph,83%
Tadotsu,23.1°C / 73.5°F,4 mph,71%
Takahagi,19.6°C / 67.2°F,5 mph,72%
Takahama,23.5°C / 74.3°F,2 mph,78%
Takamatsu,22.2°C / 72°F,5 mph,65%
Takaoka,21.2°C / 70.1°F,5 mph,63%
Takehara,22.8°C / 73°F,7 mph,86%
Tamano,22.2°C / 72°F,4 mph,73%
Tanabe,23.9°C / 75°F,5 mph,89%
Tarumizu,24.9°C / 76.8°F,9 mph,84%
Tennō,19.4°C / 66.9°F,8 mph,88%
Toba,23.5°C / 74.3°F,4 mph,68%
Togitsu,23.7°C / 74.6°F,24 mph,74%
Tokoname,23.4°C / 74.2°F,2 mph,78%
Tokushima,22.6°C / 72.6°F,7 mph,70%
Tokuyama,23.3°C / 73.9°F,6 mph,70%
Tokyo,21.6°C / 70.8°F,10 mph,79%
Tomakomai,15°C / 59°F,5 mph,96%
Tomigusuku,28.7°C / 83.7°F,18 mph,89%
Tonoshō,22.2°C / 72°F,4 mph,69%
Tottori,21.7°C / 71°F,7 mph,83%
Toyama,21.2°C / 70.1°F,2 mph,58%
Toyohama,23.6°C / 74.4°F,2 mph,69%
Toyohashi,23.7°C / 74.6°F,7 mph,2%
Tsu,23.4°C / 74.1°F,4 mph,59%
Tsukumi,24°C / 75.2°F,6 mph,65%
Ube,23.7°C / 74.7°F,17 mph,78%
Urayasu,20.3°C / 68.6°F,6 mph,70%
Ushibuka,24.5°C / 76.1°F,13 mph,82%
Uwajima,23.8°C / 74.8°F,8 mph,60%
Wakayama,22.5°C / 72.5°F,3 mph,66%
Wakkanai,13.4°C / 56.2°F,22 mph,77%
Yaizu,23.3°C / 74°F,13 mph,65%
Yamada,16.3°C / 61.4°F,6 mph,77%
Yanai,22.9°C / 73.2°F,5 mph,65%
Yatsushiro,23.7°C / 74.7°F,5 mph,78%
Yoichi,16°C / 60.8°F,6 mph,87%
Yokkaichi,23.3°C / 74°F,2 mph,83%
Yokohama,20.8°C / 69.4°F,1 mph,73%
Yokosuka,21.4°C / 70.6°F,5 mph,94%
Macau,29.1°C / 84.4°F,10 mph,89%
Alor,29.9°C / 85.9°F,1 mph,89%
Bandar,30.6°C / 87°F,1 mph,83%
Batu,30.7°C / 87.2°F,3 mph,92%
Bintulu,30.4°C / 86.8°F,3 mph,88%
Bukit,30.2°C / 86.3°F,2 mph,94%
Butterworth,30.1°C / 86.2°F,2 mph,93%
Georgetown,30.1°C / 86.2°F,2 mph,90%
Johor,30.4°C / 86.8°F,6 mph,83%
Kampung,30.3°C / 86.6°F,9 mph,80%
Kertih,30.2°C / 86.3°F,2 mph,87%
Klebang,30.9°C / 87.6°F,3 mph,79%
Kota,30.9°C / 87.6°F,3 mph,94%
Kota,30.4°C / 86.8°F,7 mph,73%
Kuah,29.8°C / 85.6°F,4 mph,76%
Kuala,29.9°C / 85.8°F,3 mph,78%
Kuala,30.6°C / 87.1°F,4 mph,93%
Kuala,30.9°C / 87.6°F,5 mph,81%
Kuala,30.6°C / 87°F,2 mph,85%
Kuantan,30.2°C / 86.3°F,0 mph,88%
Kudat,30.6°C / 87°F,2 mph,83%
Lahad,30.3°C / 86.6°F,1 mph,90%
Lumut,30.4°C / 86.8°F,2 mph,83%
Melaka,30.9°C / 87.6°F,0 mph,94%
Miri,30.4°C / 86.8°F,2 mph,100%
Muar,30.8°C / 87.5°F,4 mph,88%
Paka,30.2°C / 86.4°F,0 mph,94%
Perai,30.1°C / 86.2°F,2 mph,93%
Permatang,30.1°C / 86.2°F,3 mph,91%
Pontian,30.6°C / 87°F,3 mph,85%
Port,30.9°C / 87.6°F,6 mph,76%
Sandakan,30.3°C / 86.5°F,2 mph,88%
Sekudai,30.5°C / 86.9°F,0 mph,89%
Semporna,30.3°C / 86.5°F,4 mph,83%
Tanjung,30.1°C / 86.1°F,3 mph,88%
Tawau,30.3°C / 86.6°F,4 mph,82%
Tumpat,30.9°C / 87.7°F,2 mph,100%
Victoria,30.5°C / 86.9°F,0 mph,94%
Eydhafushi,29.2°C / 84.5°F,18 mph,80%
Funadhoo,29°C / 84.2°F,20 mph,76%
Hithadhoo,30.1°C / 86.2°F,21 mph,84%
Kudahuvadhoo,29.4°C / 84.9°F,14 mph,91%
Kulhudhuffushi,28.9°C / 84.1°F,18 mph,78%
Madifushi,29.4°C / 84.9°F,24 mph,84%
Mahibadhoo,29.2°C / 84.5°F,17 mph,80%
Male,29.1°C / 84.4°F,31 mph,100%
Manadhoo,29°C / 84.2°F,21 mph,77%
Meedhoo,30.1°C / 86.2°F,14 mph,71%
Muli,29.2°C / 84.6°F,13 mph,87%
Open,29.2°C / 84.5°F,15 mph,79%
Thinadhoo,29.9°C / 85.8°F,26 mph,89%
Vilufushi,29.3°C / 84.8°F,23 mph,85%
Kyaikkami,29.1°C / 84.3°F,3 mph,84%
Kyaikto,29°C / 84.2°F,3 mph,88%
Martaban,29°C / 84.2°F,1 mph,86%
Mawlamyine,29°C / 84.2°F,1 mph,86%
Myeik,29.8°C / 85.6°F,2 mph,87%
Rangoon,29.2°C / 84.5°F,5 mph,94%
Sittwe,29.7°C / 85.5°F,6 mph,87%
Syriam,29.1°C / 84.4°F,3 mph,94%
Ch’ŏngjin,16.1°C / 60.9°F,7 mph,92%
Haeju,18.8°C / 65.9°F,4 mph,84%
Hŭngnam,19.8°C / 67.6°F,7 mph,87%
Iwŏn-ŭp,18.3°C / 65°F,6 mph,87%
Najin,16°C / 60.8°F,6 mph,98%
Namp’o,18.9°C / 66.1°F,5 mph,69%
Samho-rodongjagu,18.9°C / 66°F,3 mph,85%
Sŏnbong,15.8°C / 60.4°F,6 mph,98%
T’ongch’ŏn-ŭp,19.8°C / 67.7°F,7 mph,81%
Wŏnsan,20.1°C / 68.2°F,2 mph,92%
Yuktae-dong,18.9°C / 66.1°F,8 mph,91%
Gadāni,28.7°C / 83.7°F,14 mph,84%
Gwādar,28.3°C / 83°F,13 mph,80%
Jīwani,28.4°C / 83.1°F,18 mph,88%
Ormāra,28.4°C / 83.1°F,19 mph,88%
Pasni,28.1°C / 82.5°F,20 mph,85%
Abucay,30.8°C / 87.4°F,2 mph,79%
Abuyog,30.4°C / 86.7°F,3 mph,94%
Agoo,30.6°C / 87.1°F,5 mph,70%
Asia,30.1°C / 86.1°F,4 mph,89%
Atimonan,30.8°C / 87.4°F,2 mph,82%
Aurora,30.8°C / 87.5°F,6 mph,72%
Bacolod,30.6°C / 87°F,8 mph,94%
Bacoor,30.9°C / 87.6°F,3 mph,94%
Bago,30.5°C / 86.9°F,9 mph,87%
Bais,30.2°C / 86.4°F,3 mph,91%
Balamban,30.4°C / 86.7°F,5 mph,92%
Balayan,30.6°C / 87.1°F,2 mph,70%
Bantayan,30.8°C / 87.4°F,9 mph,85%
Batangas,30.6°C / 87°F,2 mph,87%
Bauan,30.5°C / 86.9°F,3 mph,67%
Bayawan,30°C / 86°F,2 mph,95%
Baybay,30.6°C / 87°F,4 mph,69%
Bislig,30.5°C / 86.9°F,7 mph,93%
Bogo,30.8°C / 87.4°F,6 mph,92%
Bongao,30.1°C / 86.2°F,5 mph,79%
Borongan,30.6°C / 87.1°F,3 mph,91%
Buenavista,30.4°C / 86.7°F,7 mph,85%
Bulan,30.2°C / 86.3°F,7 mph,82%
Cadiz,30.8°C / 87.4°F,4 mph,89%
Cagayan,30.2°C / 86.4°F,5 mph,91%
Calapan,30.8°C / 87.4°F,3 mph,81%
Calauag,30.9°C / 87.6°F,2 mph,83%
Calbayog,30.5°C / 86.9°F,5 mph,95%
Carigara,30.7°C / 87.2°F,5 mph,80%
Catanauan,30.9°C / 87.6°F,3 mph,77%
Catarman,30.2°C / 86.4°F,4 mph,86%
Catbalogan,30.8°C / 87.4°F,4 mph,91%
Cavite,30.9°C / 87.6°F,3 mph,94%
Cebu,30.3°C / 86.6°F,6 mph,83%
City,29.5°C / 85.1°F,3 mph,88%
Cogan,30.6°C / 87.1°F,4 mph,89%
Compostela,30.6°C / 87°F,4 mph,89%
Cordova,30.4°C / 86.7°F,2 mph,91%
Cotabato,30.2°C / 86.4°F,3 mph,89%
Danao,30.6°C / 87.1°F,4 mph,96%
Danao,30.6°C / 87.1°F,4 mph,96%
Dapitan,29.9°C / 85.8°F,10 mph,85%
Davao,29.9°C / 85.9°F,2 mph,100%
Dumaguete,29.9°C / 85.9°F,0 mph,89%
General,30.4°C / 86.7°F,5 mph,89%
Glan,30°C / 86°F,2 mph,87%
Guihulñgan,30.3°C / 86.5°F,2 mph,89%
Gumaca,30.9°C / 87.6°F,1 mph,81%
Himamaylan,30.3°C / 86.5°F,4 mph,92%
Hinigaran,30.4°C / 86.7°F,3 mph,92%
Iloilo,30.5°C / 86.9°F,6 mph,89%
Imus,30.9°C / 87.6°F,2 mph,94%
Jasaan,30.2°C / 86.3°F,2 mph,81%
Jolo,29.4°C / 85°F,6 mph,82%
Jose,30.7°C / 87.3°F,2 mph,75%
Kalibo,30.9°C / 87.6°F,8 mph,98%
Kawit,30.9°C / 87.6°F,2 mph,83%
Laoang,30.3°C / 86.6°F,8 mph,87%
Lapu-Lapu,30.4°C / 86.8°F,2 mph,91%
Legaspi,30.3°C / 86.6°F,4 mph,86%
Libertad,30.7°C / 87.3°F,7 mph,83%
Liloan,30.4°C / 86.8°F,8 mph,83%
Lucena,30.8°C / 87.4°F,3 mph,71%
Lupon,29.9°C / 85.8°F,4 mph,90%
Makati,30.9°C / 87.7°F,2 mph,78%
Malilipot,30.4°C / 86.7°F,4 mph,69%
Malita,29.8°C / 85.7°F,4 mph,86%
Maluso,29.4°C / 84.9°F,5 mph,84%
Mamburao,30.6°C / 87°F,3 mph,74%
Manapla,30.8°C / 87.4°F,9 mph,88%
Manay,29.9°C / 85.8°F,2 mph,76%
Mandaluyong,30.9°C / 87.7°F,2 mph,78%
Mandaue,30.4°C / 86.8°F,3 mph,93%
Manila,30.9°C / 87.7°F,2 mph,93%
Mansalay,30.6°C / 87°F,3 mph,68%
Mansilingan,30.6°C / 87°F,6 mph,91%
Mantampay,30.1°C / 86.1°F,4 mph,90%
Mariano,29.9°C / 85.9°F,2 mph,95%
Mariveles,30.7°C / 87.3°F,4 mph,85%
Masbate,30.7°C / 87.2°F,7 mph,82%
Masinloc,30.6°C / 87.1°F,6 mph,70%
Mati,29.8°C / 85.7°F,2 mph,92%
Mauban,30.7°C / 87.3°F,2 mph,74%
Mercedes,30.7°C / 87.3°F,4 mph,74%
Meycauayan,30.9°C / 87.7°F,2 mph,92%
Minglanilla,30.3°C / 86.5°F,4 mph,90%
Morong,30.8°C / 87.5°F,5 mph,74%
Muricay,30.1°C / 86.1°F,1 mph,90%
Nasugbu,30.7°C / 87.3°F,2 mph,74%
Olongapo,30.5°C / 86.9°F,5 mph,74%
Orani,30.8°C / 87.4°F,2 mph,78%
Ormoc,30.7°C / 87.3°F,3 mph,87%
Oroquieta,30.1°C / 86.2°F,2 mph,84%
Ozamiz,30.2°C / 86.3°F,2 mph,85%
Pagbilao,30.8°C / 87.4°F,2 mph,78%
Panalanoy,30.4°C / 86.8°F,4 mph,93%
Pantukan,29.9°C / 85.8°F,3 mph,88%
Parang,30.1°C / 86.2°F,2 mph,92%
Pinamalayan,30.7°C / 87.3°F,1 mph,71%
Pinamungahan,30.3°C / 86.6°F,2 mph,90%
Port,30.9°C / 87.7°F,2 mph,78%
Puerto,30.5°C / 86.9°F,5 mph,83%
Pulupandan,30.5°C / 86.9°F,8 mph,93%
Recodo,30.7°C / 87.2°F,14 mph,86%
Romblon,30.9°C / 87.7°F,7 mph,77%
Roxas,30.6°C / 87°F,8 mph,76%
Sablayan,30.4°C / 86.8°F,4 mph,81%
Sagay,30.8°C / 87.4°F,6 mph,89%
Samal,29.9°C / 85.9°F,5 mph,78%
San,30.1°C / 86.2°F,4 mph,89%
Santa,29.9°C / 85.9°F,3 mph,93%
Santa,30.7°C / 87.2°F,4 mph,84%
Saravia,30.7°C / 87.3°F,11 mph,91%
Sipalay,30.2°C / 86.3°F,6 mph,88%
Sitangkai,30.3°C / 86.5°F,7 mph,71%
Sorsogon,30.4°C / 86.7°F,2 mph,84%
Subic,30.6°C / 87°F,3 mph,83%
Surigao,30.3°C / 86.6°F,5 mph,80%
Tabaco,30.4°C / 86.7°F,2 mph,82%
Tagoloan,30.2°C / 86.3°F,1 mph,79%
Talisay,30.6°C / 87.1°F,2 mph,74%
Talisay,30.6°C / 87.1°F,2 mph,74%
Tanauan,30.5°C / 86.9°F,7 mph,93%
Tandag,30.5°C / 86.9°F,5 mph,89%
Tangub,30.1°C / 86.1°F,2 mph,86%
Tanza,30.9°C / 87.7°F,4 mph,92%
Tiwi,30.6°C / 87°F,4 mph,69%
Toledo,30.3°C / 86.6°F,0 mph,77%
Virac,30.4°C / 86.8°F,5 mph,69%
Zamboanga,29.7°C / 85.4°F,7 mph,85%
Le,24.3°C / 75.8°F,9 mph,60%
Les,23.8°C / 74.9°F,28 mph,81%
Piton,24.1°C / 75.4°F,28 mph,81%
Saint-Denis,24.2°C / 75.6°F,11 mph,64%
Saint-Joseph,24°C / 75.2°F,17 mph,73%
Saint-Leu,24.1°C / 75.3°F,28 mph,81%
Saint-Paul,24.3°C / 75.7°F,6 mph,58%
Saint-Philippe,23.7°C / 74.7°F,20 mph,83%
Saint-Pierre,23.9°C / 75°F,28 mph,82%
Akhtanizovskaya,22.7°C / 72.8°F,17 mph,71%
Anadyr’,3.2°C / 37.8°F,31 mph,41%
Aniva,10.9°C / 51.6°F,12 mph,96%
Arkhangel’sk,12.6°C / 54.7°F,2 mph,100%
Ayan,8.5°C / 47.3°F,9 mph,90%
Chumikan,3.2°C / 37.8°F,5 mph,97%
Chupa,11°C / 51.8°F,7 mph,88%
Donskoye,17.3°C / 63.1°F,17 mph,77%
Emar,14.4°C / 57.9°F,1 mph,95%
Gadzhiyevo,8.8°C / 47.9°F,4 mph,96%
Gelendzhik,21.7°C / 71.1°F,6 mph,59%
Glebychevo,15.3°C / 59.5°F,9 mph,78%
Gorskaya,15.8°C / 60.4°F,8 mph,91%
Kamenka,12.1°C / 53.7°F,8 mph,67%
Kholmsk,11.3°C / 52.4°F,8 mph,97%
Khosta,22.3°C / 72.2°F,7 mph,94%
Kola,8.8°C / 47.9°F,0 mph,100%
Krasnogorsk,9.6°C / 49.3°F,16 mph,90%
Kronshtadt,15.3°C / 59.5°F,13 mph,85%
Kudepsta,22.3°C / 72.2°F,7 mph,94%
Lazarev,8.3°C / 47°F,9 mph,85%
Livadiya,14.2°C / 57.6°F,8 mph,84%
Lososina,8.7°C / 47.7°F,13 mph,98%
Makarov,8.7°C / 47.7°F,23 mph,98%
Mayskiy,8.7°C / 47.7°F,10 mph,98%
Murmansk,8.8°C / 47.9°F,7 mph,50%
Mys-Kamennyy,-0.4°C / 31.2°F,11 mph,77%
Nakhodka,14.2°C / 57.5°F,12 mph,94%
Nevel’sk,11.6°C / 52.8°F,9 mph,97%
Novobessergenovka,23.6°C / 74.4°F,15 mph,50%
Novorossiysk,21.7°C / 71.1°F,7 mph,49%
Ossora,8.8°C / 47.9°F,6 mph,88%
Ostrovnoy,5.7°C / 42.3°F,10 mph,79%
Otrada,9.7°C / 49.4°F,7 mph,100%
Ozernovskiy,6.4°C / 43.6°F,5 mph,96%
Petropavlovsk-Kamchatskiy,8.2°C / 46.8°F,3 mph,80%
Pevek,-1.2°C / 29.9°F,35 mph,94%
Pionerskiy,18.2°C / 64.7°F,13 mph,60%
Polyarnyy,8.8°C / 47.9°F,8 mph,94%
Popova,14.7°C / 58.4°F,12 mph,92%
Poyakonda,10.8°C / 51.5°F,7 mph,87%
Pravda,11.4°C / 52.5°F,6 mph,90%
Preobrazheniye,13.4°C / 56.2°F,7 mph,77%
Primorka,23.5°C / 74.3°F,7 mph,46%
Primorsk,15.2°C / 59.4°F,12 mph,77%
Primorsko-Akhtarsk,23.8°C / 74.9°F,15 mph,63%
Provideniya,4.3°C / 39.7°F,18 mph,81%
Putyatin,14.3°C / 57.7°F,10 mph,90%
Russkiy,14.6°C / 58.3°F,16 mph,93%
Saint,17.2°C / 63°F,11 mph,83%
Severo-Kuril’sk,6.3°C / 43.3°F,3 mph,94%
Severodvinsk,11.3°C / 52.3°F,7 mph,89%
Shirochanka,25.7°C / 78.2°F,12 mph,67%
Sista-Palkino,14.3°C / 57.7°F,8 mph,88%
Slavyanka,14.7°C / 58.5°F,10 mph,96%
Sochi,22.3°C / 72.2°F,4 mph,82%
Solnechnoye,14.4°C / 57.9°F,9 mph,87%
Sovetskaya,8.7°C / 47.7°F,10 mph,99%
Sovetskiy,15.1°C / 59.1°F,8 mph,81%
Strel'na,17.1°C / 62.7°F,4 mph,83%
Svetlogorsk,18.1°C / 64.5°F,13 mph,54%
Taganrog,23.6°C / 74.4°F,15 mph,51%
Taman’,22.1°C / 71.8°F,20 mph,71%
Tazovskiy,0.5°C / 32.9°F,2 mph,68%
Teribërka,8.6°C / 47.4°F,4 mph,87%
Terney,11.6°C / 52.8°F,4 mph,83%
Tilichiki,7.8°C / 46.1°F,8 mph,85%
Umba,6.1°C / 43°F,7 mph,91%
Ust’-Kamchatsk,6.8°C / 44.3°F,5 mph,78%
Ust’-Luga,16.4°C / 61.6°F,11 mph,83%
Vakhrushev,8.7°C / 47.6°F,19 mph,98%
Vidyayevo,8.8°C / 47.9°F,2 mph,100%
Vilyuchinsk,8.4°C / 47.2°F,2 mph,76%
Vladivostok,14.6°C / 58.3°F,13 mph,96%
Volchanets,14.2°C / 57.5°F,7 mph,94%
Vrangel’,14.1°C / 57.3°F,14 mph,89%
Vyborg,14.4°C / 57.9°F,4 mph,92%
Vysotsk,14.4°C / 58°F,9 mph,89%
Yablochnyy,11.3°C / 52.3°F,6 mph,95%
Yantarnyy,17.3°C / 63.2°F,18 mph,84%
Yuzhno-Kuril'sk,9.7°C / 49.5°F,8 mph,92%
Zarubino,15°C / 59°F,13 mph,97%
Волочаевское,18.8°C / 65.8°F,8 mph,83%
Singapore,30.4°C / 86.7°F,6 mph,82%
Ansan,17.6°C / 63.6°F,5 mph,82%
Busan,21.7°C / 71°F,5 mph,65%
Chinhae,20.7°C / 69.3°F,9 mph,96%
Gaigeturi,22.6°C / 72.6°F,18 mph,84%
Goyang,18°C / 64.4°F,6 mph,69%
Hoko,21.2°C / 70.1°F,4 mph,97%
Hwaseong,17.6°C / 63.7°F,8 mph,72%
Incheon,17.8°C / 64°F,6 mph,83%
Jeju,21.9°C / 71.5°F,3 mph,83%
Kang-neung,20.3°C / 68.5°F,5 mph,75%
Kunsan,20.9°C / 69.7°F,10 mph,100%
Kyosai,21.2°C / 70.1°F,9 mph,97%
Masan,20.7°C / 69.3°F,4 mph,96%
Moppo,20.2°C / 68.3°F,16 mph,95%
Reisui,20.8°C / 69.4°F,8 mph,96%
Sinan,20.7°C / 69.2°F,20 mph,94%
Sinhyeon,21.1°C / 70°F,9 mph,97%
Sogcho,19.9°C / 67.8°F,2 mph,94%
Sunchun,20.4°C / 68.8°F,6 mph,96%
Taesal-li,18.2°C / 64.7°F,12 mph,84%
